datetime,main.aqi,components.co,components.no,components.no2,components.o3,components.so2,components.pm2_5,components.pm10,components.nh3,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,surface_pressure,wind_speed_10m,wind_direction_10m,shortwave_radiation
26/08/2021 23:00:00,5,787.74,0.0,7.45,97.28,6.74,90.38,153.65,15.83,31.1,45,17.8,0.0,958.3,8.8,351,0
27/08/2021 00:00:00,5,714.3,0.0,6.17,107.29,7.09,84.85,136.09,14.06,30.8,47,18.2,0.0,958.8,9.4,337,0
27/08/2021 01:00:00,5,680.92,0.0,6.43,111.58,7.33,81.6,125.67,12.54,30.6,48,18.4,0.0,959.6,9.4,353,1
27/08/2021 02:00:00,5,714.3,0.03,9.94,113.01,7.75,82.51,127.82,11.65,30.8,48,18.6,0.0,960.4,9.7,4,84
27/08/2021 03:00:00,5,767.71,0.31,13.88,117.3,8.35,86.5,140.88,10.89,31.7,47,19.0,0.0,960.8,10.7,12,278
27/08/2021 04:00:00,5,707.63,0.49,9.6,138.76,7.75,90.39,161.87,9.37,33.1,44,19.2,0.0,961.2,10.5,22,480
27/08/2021 05:00:00,5,667.57,0.49,6.6,155.93,7.27,92.36,177.16,9.12,34.5,41,19.4,0.0,961.3,9.5,29,658
27/08/2021 06:00:00,5,627.52,0.38,4.46,170.23,6.74,93.8,192.05,9.12,36.3,35,18.4,0.0,960.7,7.9,47,792
27/08/2021 07:00:00,5,620.84,0.31,3.56,174.52,6.2,95.26,205.33,9.75,37.8,31,17.8,0.0,960.3,7.2,63,875
27/08/2021 08:00:00,5,640.87,0.33,4.03,181.68,6.02,97.27,207.69,10.13,39.0,28,17.2,0.0,959.9,7.9,87,893
27/08/2021 09:00:00,5,667.57,0.34,4.97,194.55,6.02,100.31,212.02,10.26,39.6,26,16.6,0.0,959.1,11.4,114,846
27/08/2021 10:00:00,5,907.9,1.16,19.54,197.41,6.8,106.6,217.62,13.05,40.0,24,15.6,0.0,958.3,11.6,120,740
27/08/2021 11:00:00,5,1375.2,2.07,48.67,214.58,9.06,114.68,224.77,20.52,40.3,23,15.2,0.0,957.7,2.5,180,580
27/08/2021 12:00:00,5,1922.61,2.07,90.48,211.72,11.92,121.75,228.84,29.13,38.6,27,16.3,0.0,957.2,11.7,281,211
27/08/2021 13:00:00,5,2456.67,0.91,134.35,178.81,14.78,132.97,238.88,35.97,38.0,28,16.4,0.0,957.4,7.2,276,162
27/08/2021 14:00:00,5,2483.37,0.04,130.24,133.04,15.26,141.3,246.76,35.47,37.5,28,15.9,0.0,958.1,4.7,360,24
27/08/2021 15:00:00,5,1869.2,0.0,80.2,104.43,11.92,121.46,229.56,28.12,37.4,29,16.4,0.0,958.7,14.6,50,0
27/08/2021 16:00:00,5,1228.33,0.0,37.01,88.69,7.57,104.56,231.05,20.01,35.9,32,16.7,0.0,959.3,15.5,48,0
27/08/2021 17:00:00,5,947.95,0.0,24.33,82.97,6.08,103.06,241.68,17.48,35.2,34,17.0,0.0,959.3,13.2,26,0
27/08/2021 18:00:00,5,821.11,0.0,19.19,83.69,6.08,100.8,233.05,16.47,34.0,36,16.9,0.0,959.5,15.7,16,0
27/08/2021 19:00:00,5,660.9,0.0,12.51,90.12,6.02,91.53,194.77,13.55,32.5,41,17.6,0.0,959.6,12.9,13,0
27/08/2021 20:00:00,5,580.79,0.0,8.65,92.98,5.66,80.72,147.79,10.51,31.9,43,17.8,0.0,959.7,12.0,9,0
27/08/2021 21:00:00,5,554.09,0.0,6.43,95.84,5.42,73.66,121.09,7.98,31.1,47,18.5,0.0,959.8,10.2,8,0
27/08/2021 22:00:00,5,534.06,0.0,4.54,100.14,4.77,67.77,103.21,6.08,30.2,51,19.0,0.0,960.0,7.8,22,0
27/08/2021 23:00:00,5,527.38,0.0,3.56,103.0,4.05,61.89,87.34,4.94,29.3,54,19.1,0.0,960.2,11.5,360,0
28/08/2021 00:00:00,5,520.71,0.0,3.04,105.86,3.58,56.88,76.05,4.12,27.1,66,20.2,0.0,961.0,15.4,21,0
28/08/2021 01:00:00,5,507.36,0.0,2.91,113.01,3.4,55.1,74.99,3.64,25.8,72,20.4,0.1,961.7,10.2,18,1
28/08/2021 02:00:00,5,507.36,0.01,4.33,117.3,3.64,56.28,79.92,3.9,26.1,71,20.5,0.0,962.7,7.6,31,81
28/08/2021 03:00:00,5,540.73,0.15,7.28,117.3,4.11,56.97,81.79,4.43,27.3,66,20.4,0.0,963.1,6.4,38,272
28/08/2021 04:00:00,5,554.09,0.45,7.97,121.59,4.41,54.83,78.19,4.56,28.9,60,20.4,0.0,963.4,7.9,47,473
28/08/2021 05:00:00,5,547.41,0.49,6.43,133.04,4.53,51.58,72.67,4.5,30.5,54,20.2,0.1,963.3,8.4,65,649
28/08/2021 06:00:00,4,547.41,0.38,4.84,147.34,4.59,49.63,68.99,4.5,32.2,49,20.2,0.0,962.9,5.2,65,782
28/08/2021 07:00:00,4,547.41,0.29,3.9,157.36,4.59,49.13,68.41,4.43,33.8,43,19.5,0.0,962.0,6.8,72,862
28/08/2021 08:00:00,4,547.41,0.26,3.86,163.08,4.53,48.64,68.16,4.56,35.5,38,19.0,0.0,961.3,6.9,84,880
28/08/2021 09:00:00,4,547.41,0.25,4.24,167.37,4.47,48.75,68.63,4.88,35.7,37,18.8,0.1,960.8,7.6,239,761
28/08/2021 10:00:00,4,540.73,0.24,4.63,168.8,4.35,48.39,69.32,5.13,34.9,38,18.5,0.1,959.0,7.2,270,408
28/08/2021 11:00:00,4,520.71,0.22,4.58,163.08,4.05,46.27,69.12,5.32,35.8,36,18.4,0.0,958.8,7.5,253,505
28/08/2021 12:00:00,4,494.0,0.16,4.58,147.34,3.61,40.85,65.8,5.38,35.9,36,18.5,0.3,959.4,10.4,284,218
28/08/2021 13:00:00,4,527.38,0.09,7.45,127.32,3.52,37.27,62.38,6.27,33.2,38,17.0,1.1,958.8,13.1,291,25
28/08/2021 14:00:00,4,594.14,0.01,10.88,110.15,3.7,39.78,65.47,7.98,30.8,38,14.9,0.5,960.4,18.7,230,13
28/08/2021 15:00:00,4,647.54,0.0,13.54,100.14,3.82,44.76,71.98,9.12,30.1,39,14.7,0.0,960.4,12.6,273,0
28/08/2021 16:00:00,4,727.65,0.0,18.17,89.41,3.73,49.8,78.28,9.37,30.4,38,14.5,0.0,961.1,10.4,256,0
28/08/2021 17:00:00,5,827.79,0.0,23.65,77.25,3.87,54.24,85.21,11.15,30.8,37,14.5,0.0,960.9,4.0,275,0
28/08/2021 18:00:00,5,934.6,0.0,30.5,66.52,4.59,57.96,91.17,15.71,30.5,43,16.5,0.0,961.4,5.7,325,0
28/08/2021 19:00:00,5,1014.71,0.0,36.33,60.8,5.54,63.16,96.87,21.28,30.2,45,17.0,0.0,961.6,4.6,342,0
28/08/2021 20:00:00,5,961.3,0.0,29.82,60.08,5.36,66.07,98.44,19.0,29.4,49,17.6,0.3,961.8,2.3,51,0
28/08/2021 21:00:00,5,854.49,0.0,18.85,65.8,4.95,65.2,95.49,10.26,28.9,51,17.8,0.0,961.7,8.2,41,0
28/08/2021 22:00:00,5,700.95,0.0,10.37,85.83,5.6,57.93,85.33,5.95,28.1,54,17.9,0.5,961.4,7.3,33,0
28/08/2021 23:00:00,5,660.9,0.0,8.57,81.54,4.71,52.8,76.08,4.94,27.9,55,18.1,0.0,961.7,6.9,51,0
29/08/2021 00:00:00,4,600.82,0.0,7.11,79.39,3.73,46.72,65.16,4.18,27.5,57,18.3,0.0,962.0,8.7,66,0
29/08/2021 01:00:00,4,534.06,0.0,6.17,81.54,2.95,40.84,55.38,3.55,26.6,61,18.5,0.0,962.5,10.0,52,1
29/08/2021 02:00:00,4,547.41,0.03,9.43,77.96,2.92,36.86,49.88,3.64,26.6,60,18.2,0.0,963.2,8.4,43,80
29/08/2021 03:00:00,4,620.84,0.71,14.4,75.1,3.58,35.29,47.96,4.18,27.4,56,17.9,0.0,963.4,6.4,38,273
29/08/2021 04:00:00,4,500.68,0.77,7.8,101.57,3.04,31.12,43.16,3.36,28.8,51,17.7,0.0,963.6,8.1,58,476
29/08/2021 05:00:00,4,487.33,0.7,5.74,118.73,2.98,30.48,43.02,3.55,30.4,46,17.5,0.0,963.7,9.5,65,655
29/08/2021 06:00:00,4,494.0,0.51,4.2,138.76,3.28,31.61,44.71,3.96,31.8,41,17.0,0.0,963.6,7.3,70,790
29/08/2021 07:00:00,4,500.68,0.35,3.21,153.07,3.34,32.25,45.55,3.99,33.3,37,16.7,0.0,963.0,5.2,74,870
29/08/2021 08:00:00,4,514.03,0.31,3.26,164.51,3.49,34.13,47.71,4.24,34.5,34,16.4,0.0,962.5,5.8,94,888
29/08/2021 09:00:00,4,514.03,0.29,3.6,168.8,3.52,35.01,49.05,4.56,35.4,32,16.2,0.0,961.7,8.3,85,840
29/08/2021 10:00:00,4,514.03,0.31,4.2,165.94,3.43,34.27,48.82,4.69,36.2,30,15.9,0.0,960.6,11.3,59,732
29/08/2021 11:00:00,4,507.36,0.34,5.31,158.79,3.28,32.85,48.0,4.94,36.8,30,16.4,0.1,960.1,13.6,40,572
29/08/2021 12:00:00,4,500.68,0.32,7.03,144.48,3.04,31.07,46.87,5.13,36.5,30,16.2,0.0,960.2,17.8,47,370
29/08/2021 13:00:00,4,600.82,0.28,16.28,114.44,3.07,31.32,48.01,6.84,34.8,35,17.1,0.0,960.6,23.2,41,160
29/08/2021 14:00:00,4,794.41,0.02,28.79,81.54,3.4,34.52,52.14,10.13,32.9,41,17.9,0.0,961.3,18.0,33,20
29/08/2021 15:00:00,4,961.3,0.0,36.67,59.37,3.67,38.22,56.57,13.17,32.6,42,18.1,0.0,962.0,10.7,14,0
29/08/2021 16:00:00,4,1201.63,0.02,48.67,32.54,3.55,43.33,63.28,17.23,31.9,44,18.2,0.2,962.8,6.6,311,0
29/08/2021 17:00:00,5,1508.71,0.95,61.69,8.4,3.64,50.14,73.29,20.77,31.4,46,18.4,0.2,963.1,7.2,323,0
29/08/2021 18:00:00,5,1708.98,3.74,66.49,1.77,4.11,54.68,80.17,21.03,30.8,50,19.2,0.0,963.5,7.1,319,0
29/08/2021 19:00:00,5,1655.58,1.93,62.38,4.07,4.35,53.48,77.6,18.49,30.5,51,19.3,0.1,963.8,4.2,329,0
29/08/2021 20:00:00,5,1495.36,0.39,51.41,8.85,4.23,51.36,74.0,18.24,29.1,55,19.2,0.8,964.0,5.2,25,0
29/08/2021 21:00:00,5,1348.5,0.08,41.47,12.7,4.17,51.19,73.59,21.53,28.4,59,19.6,0.6,964.2,7.1,30,0
29/08/2021 22:00:00,5,1201.63,0.02,31.53,17.88,3.93,50.86,72.43,20.52,27.4,64,20.0,0.5,964.0,8.0,5,0
29/08/2021 23:00:00,4,1014.71,0.0,20.74,27.9,3.19,47.89,65.87,11.27,27.4,64,20.0,0.0,964.2,7.5,35,0
30/08/2021 00:00:00,4,867.84,0.0,14.57,42.92,2.77,43.33,56.61,6.33,27.0,65,19.9,0.9,965.0,9.7,45,0
30/08/2021 01:00:00,4,674.25,0.0,9.08,80.11,3.67,35.66,45.87,4.88,26.1,68,19.8,0.4,965.9,7.0,21,1
30/08/2021 02:00:00,4,700.95,0.03,13.88,76.53,3.58,33.05,42.82,4.56,26.6,65,19.5,0.1,966.9,6.3,31,77
30/08/2021 03:00:00,4,854.49,0.53,24.33,64.37,4.05,31.85,41.32,4.94,27.2,63,19.6,0.8,967.4,5.0,30,268
30/08/2021 04:00:00,4,700.95,0.82,16.11,85.83,3.4,26.2,33.63,3.77,28.5,58,19.5,0.2,967.9,4.6,51,469
30/08/2021 05:00:00,3,634.19,1.09,10.88,103.0,3.34,24.58,31.17,3.96,29.9,53,19.3,0.0,968.0,6.7,54,647
30/08/2021 06:00:00,4,600.82,0.76,6.34,125.89,3.46,25.08,31.49,4.24,31.4,49,19.4,0.0,967.9,10.5,63,781
30/08/2021 07:00:00,3,514.03,0.42,3.56,137.33,2.95,24.98,33.09,3.74,32.7,45,19.2,0.0,967.2,9.4,72,859
30/08/2021 08:00:00,4,480.65,0.35,3.34,140.19,2.86,25.3,35.38,3.58,34.0,41,18.9,0.0,966.5,10.4,70,875
30/08/2021 09:00:00,4,480.65,0.34,3.86,144.48,3.07,26.23,37.17,3.77,35.0,38,18.6,0.0,965.5,12.4,68,827
30/08/2021 10:00:00,4,507.36,0.35,4.76,150.2,3.4,27.28,38.73,4.05,35.7,36,18.4,0.0,964.6,12.5,57,719
30/08/2021 11:00:00,4,540.73,0.37,6.34,155.93,3.87,28.7,40.48,4.43,36.0,35,18.2,0.0,963.9,13.8,51,559
30/08/2021 12:00:00,4,580.79,0.35,9.08,157.36,4.29,29.81,41.86,4.88,35.2,36,17.9,0.0,963.3,19.9,45,345
30/08/2021 13:00:00,4,1335.14,1.48,64.43,85.83,6.26,36.97,51.56,13.68,33.4,42,18.8,0.6,964.8,15.0,27,162
30/08/2021 14:00:00,5,2510.07,7.1,141.2,9.66,10.49,50.19,69.84,31.67,30.0,48,17.8,1.1,964.8,18.1,287,7
30/08/2021 15:00:00,5,3631.59,32.63,164.51,0.0,14.07,65.17,89.36,50.16,28.8,44,15.4,0.2,965.7,16.0,261,0
30/08/2021 16:00:00,5,4005.43,39.34,169.99,0.0,16.45,78.05,106.41,70.93,28.8,42,14.6,0.5,966.9,13.7,240,0
30/08/2021 17:00:00,5,3952.03,36.21,167.25,0.0,18.12,88.62,120.45,92.21,29.7,40,14.7,0.0,966.6,10.3,245,0
30/08/2021 18:00:00,5,3845.22,33.53,161.77,0.0,18.6,95.25,129.05,105.38,29.9,39,14.5,0.0,966.0,6.4,254,0
30/08/2021 19:00:00,5,3471.37,24.59,139.83,0.01,15.5,94.3,126.79,98.29,29.8,41,15.2,0.0,966.6,3.1,315,0
30/08/2021 20:00:00,5,3017.43,13.64,119.27,0.12,12.04,89.77,121.08,86.13,29.5,43,15.6,0.0,966.6,3.3,49,0
30/08/2021 21:00:00,5,2616.88,5.36,100.08,0.79,9.3,84.78,115.6,71.94,28.9,47,16.5,0.0,966.7,5.8,68,0
30/08/2021 22:00:00,5,2349.85,2.32,79.51,1.06,6.5,80.14,111.17,52.18,28.5,50,17.1,0.0,966.9,6.2,54,0
30/08/2021 23:00:00,5,2323.15,3.1,63.06,0.3,3.79,78.02,109.12,23.31,28.1,54,17.9,0.0,967.0,6.1,28,0
31/08/2021 00:00:00,5,2323.15,4.47,52.78,0.2,2.65,75.67,103.56,9.88,27.3,60,18.9,0.0,967.6,7.9,16,0
31/08/2021 01:00:00,5,1976.01,0.16,50.72,11.8,6.02,68.39,86.96,12.03,26.7,65,19.6,0.0,968.1,8.6,22,1
31/08/2021 02:00:00,5,1668.93,0.55,40.1,21.99,7.63,59.96,74.44,8.23,26.8,66,19.9,0.0,968.8,11.8,27,74
31/08/2021 03:00:00,5,1562.12,2.74,38.04,36.84,9.54,55.2,67.04,7.22,26.9,66,20.0,0.0,969.3,13.4,27,252
31/08/2021 04:00:00,4,1148.22,1.54,23.99,91.55,9.06,44.25,52.95,6.21,27.5,63,19.9,0.0,969.7,14.2,27,461
31/08/2021 05:00:00,4,988.01,1.13,16.79,125.89,7.99,38.72,46.63,6.52,28.6,58,19.6,0.0,970.0,9.5,29,644
31/08/2021 06:00:00,4,921.25,0.76,12.17,154.5,7.75,40.88,48.45,6.46,29.6,55,19.6,0.0,969.9,7.6,25,779
31/08/2021 07:00:00,4,720.98,0.41,6.34,158.79,5.48,35.14,42.53,5.32,30.9,50,19.3,0.0,969.3,6.4,16,856
31/08/2021 08:00:00,4,654.22,0.34,4.93,160.22,4.71,32.89,40.61,5.0,32.1,46,19.1,0.0,968.6,5.5,23,872
31/08/2021 09:00:00,4,674.25,0.36,5.31,168.8,4.95,35.03,42.75,5.26,33.3,41,18.3,0.0,967.6,8.4,40,824
31/08/2021 10:00:00,4,700.95,0.38,6.17,178.81,5.31,37.73,45.2,5.51,34.6,36,17.4,0.0,966.4,10.9,63,718
31/08/2021 11:00:00,4,720.98,0.36,7.63,178.81,5.42,38.56,46.06,5.76,35.4,33,16.7,0.0,965.8,11.9,90,561
31/08/2021 12:00:00,4,734.33,0.29,10.11,171.66,5.36,38.01,45.77,5.95,34.7,35,17.0,0.0,966.0,12.2,92,365
31/08/2021 13:00:00,4,1455.31,0.96,61.01,76.53,5.48,44.47,55.06,10.89,33.7,38,17.4,0.0,966.4,14.5,55,152
31/08/2021 14:00:00,5,2536.77,12.96,100.08,2.77,5.9,56.47,71.93,16.72,31.5,46,18.5,0.2,967.5,11.5,309,8
31/08/2021 15:00:00,5,3417.97,37.55,97.33,0.0,6.2,67.03,86.32,20.77,29.9,51,18.7,0.0,967.5,12.0,303,0
31/08/2021 16:00:00,5,3845.22,46.49,95.96,0.0,6.14,74.96,96.64,22.55,28.9,55,19.0,1.1,968.7,9.5,281,0
31/08/2021 17:00:00,5,4005.43,46.94,95.96,0.0,5.78,82.13,105.27,22.8,28.6,55,18.7,0.4,968.8,7.1,300,0
31/08/2021 18:00:00,5,3845.22,38.89,95.96,0.0,5.42,84.95,106.92,22.29,28.8,55,18.9,0.4,969.1,2.6,236,0
