datetime,main_aqi,components_co,components_no,components_no2,components_o3,components_so2,components_pm2_5,components_pm10,components_nh3,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,surface_pressure,wind_speed_10m,wind_direction_10m,shortwave_radiation
8/25/2021 23:00,5,761.03,0.19,21.94,10.37,6.14,80.43,278.41,21.53,31.4,61,22.9,0,971.5,6.8,177,0
8/26/2021 0:00,5,741.01,0.33,21.42,8.76,6.26,79.53,276.95,22.04,30.9,61,22.6,0,971.3,6.6,189,0
8/26/2021 1:00,5,794.41,1.26,23.65,4.56,6.62,79.08,283.89,23.05,30.8,60,22.2,0,971,7.5,215,0
8/26/2021 2:00,5,1201.63,15.2,27.76,1.83,8.58,85.46,314.84,24.57,30.5,61,22,0,970.6,8.2,232,0
8/26/2021 3:00,5,1869.2,41.57,34.96,6.17,12.52,98.38,391.52,25.33,30,62,21.9,0,970.5,7.3,237,0
8/26/2021 4:00,5,1134.87,13.52,35.64,42.2,23.6,115.45,583.33,19.51,29.5,64,21.9,0,970.6,6.5,236,0
8/26/2021 5:00,5,974.66,6.71,31.53,98.71,28.85,136.62,694.42,16.09,28.3,69,22.1,0,970.7,3.4,148,0
8/26/2021 6:00,5,841.14,2.63,21.08,181.68,32.42,159.04,747.88,13.68,28.5,68,22.1,0,971.2,7.2,153,5
8/26/2021 7:00,5,607.49,0.95,9.77,208.86,26.7,161.02,725.79,9.5,29.8,62,21.9,0,971.8,7.9,164,98
8/26/2021 8:00,5,500.68,0.75,7.54,200.27,22.41,146.63,635.35,7.22,31.7,56,21.8,0,972.3,8.3,198,277
8/26/2021 9:00,5,487.33,0.76,7.88,197.41,22.17,138.22,574.79,6.46,33.8,49,21.5,0,972.7,11.5,229,472
8/26/2021 10:00,5,487.33,0.78,9,188.83,21.7,129.64,529.14,6.08,35.3,45,21.6,0,972.8,11.3,243,645
8/26/2021 11:00,5,494,0.8,11.31,173.09,21.46,122.36,495.98,6.08,36.4,42,21.6,0,972.7,9.4,238,773
8/26/2021 12:00,5,527.38,0.69,15.77,150.2,20.98,114.31,469.34,6.4,37.3,40,21.4,0,972.3,8.7,222,843
8/26/2021 13:00,5,707.63,0.33,29.47,114.44,21.22,106.1,438.81,7.98,38,38,21.2,0,971.6,9.6,214,847
8/26/2021 14:00,5,894.55,0.01,38.39,75.82,19.31,94.58,393.73,10.77,38.4,36,20.9,0,970.7,10.1,215,786
8/26/2021 15:00,5,794.41,0,30.85,60.8,14.07,84.17,353.3,12.41,38.6,36,20.8,0,970,9.5,217,667
8/26/2021 16:00,5,620.84,0,20.05,62.94,9.66,82.42,343.32,12.79,38.4,36,20.7,0,969.6,10.1,215,492
8/26/2021 17:00,5,580.79,0,17.65,65.09,8.7,84.65,344.94,12.79,36,44,22,0,971.2,6.6,189,301
8/26/2021 18:00,5,594.14,0,18.17,62.23,8.46,84.7,341.06,12.92,35,48,22.3,0,971.2,7.6,185,119
8/26/2021 19:00,5,600.82,0,19.19,55.08,7.51,82.16,323.36,13.05,33.7,52,22.5,0,971.4,10.8,182,10
8/26/2021 20:00,5,600.82,0,19.02,47.92,6.8,79.63,304.06,13.81,32.8,56,22.8,0,971.9,10.5,174,0
8/26/2021 21:00,5,567.44,0,17.14,43.63,6.86,77.47,288.93,14.69,31.9,60,23.3,0,972.5,11.7,169,0
8/26/2021 22:00,5,634.19,0,19.71,30.76,6.62,78.62,270.65,15.58,31.3,63,23.5,0,972.6,10.9,171,0
8/26/2021 23:00,5,734.33,0.04,22.96,18.24,6.32,81.73,264.25,17.48,31,64,23.4,0,972.7,11.9,175,0
8/27/2021 0:00,5,821.11,0.41,26.05,9.03,6.32,84.83,267.2,20.27,30.5,65,23.3,0,972.5,11.7,171,0
8/27/2021 1:00,5,961.3,4.3,28.1,1.59,6.5,89.02,275.5,23.31,30,67,23.2,0,972.1,10,167,0
8/27/2021 2:00,5,1548.77,29.5,25.71,0.82,7.99,100.42,290.19,25.84,29.6,68,23,0,971.8,7.5,163,0
8/27/2021 3:00,5,2510.07,69.74,29.82,3.04,10.13,113.78,310.26,27.11,29.4,68,22.8,0,971.8,8.3,180,0
8/27/2021 4:00,5,841.14,7.82,23.65,45.78,16.45,83.44,332.7,19,29.2,66,22.3,0,972,10,193,0
8/27/2021 5:00,5,734.33,3.86,17.99,92.98,17.17,88.46,355.53,17.23,28.2,73,23,0,972.3,8.4,140,0
8/27/2021 6:00,5,707.63,1.66,13.02,161.65,20.03,107.34,387.49,16.97,28.3,74,23.1,0,973,9.2,111,5
8/27/2021 7:00,5,587.46,0.84,8.23,191.69,20.74,111.76,442.38,12.03,29.3,70,23.3,0,973.4,10.2,113,96
8/27/2021 8:00,5,534.06,0.69,7.37,200.27,20.5,110.96,462.89,9.5,30.7,64,23.2,0,973.8,9.9,136,276
8/27/2021 9:00,5,540.73,0.64,7.88,211.72,20.98,113.52,473.37,9.37,32.4,57,22.9,0,974.3,7.4,151,471
8/27/2021 10:00,5,567.44,0.64,9.68,223.16,23.84,117.2,492.76,9.37,34.2,51,22.6,0,974.6,6.3,156,643
8/27/2021 11:00,5,594.14,0.59,12.17,217.44,25.03,119.69,518.18,9.63,35.7,46,22.3,0,974.7,6,155,771
8/27/2021 12:00,5,594.14,0.45,15.94,185.97,23.6,119.7,544.04,9.75,37,42,21.8,0,974.3,5.7,162,840
8/27/2021 13:00,5,694.28,0.19,25.71,135.9,20.03,119.88,555.46,11.4,37.8,39,21.3,0,973.9,4.1,165,845
8/27/2021 14:00,5,834.47,0.01,32.56,89.41,15.26,120.15,548.29,13.93,38.3,37,21,0,973.5,3.3,167,785
8/27/2021 15:00,5,821.11,0,29.82,67.95,11.33,116.35,518.47,15.71,38.4,36,20.5,0,973,4.3,185,596
8/27/2021 16:00,5,720.98,0,24.33,56.51,8.35,103.77,446.06,17.23,38.4,34,20,0,972.6,6.8,198,412
8/27/2021 17:00,5,741.01,0,25.71,44.35,7.75,93.78,380.03,18.49,35.8,45,22,0,973.6,7.6,135,261
8/27/2021 18:00,5,801.09,0,29.47,33.62,7.87,87.04,337.58,19.25,34.8,49,22.6,0,973.7,7.4,137,108
8/27/2021 19:00,5,821.11,0.01,30.85,27.54,7.75,82.12,314.85,18.75,33.2,57,23.5,0,973.8,9.2,121,9
8/27/2021 20:00,5,727.65,0,25.36,27.9,6.44,79.02,301.33,19.25,32.1,63,24.1,0,974.3,10.3,115,0
8/27/2021 21:00,5,607.49,0,19.02,28.97,5.25,78.4,296.31,20.52,31.4,66,24.4,0,974.9,9.4,113,0
8/27/2021 22:00,5,560.76,0,16.11,27.54,4.71,79.96,294.17,21.79,31,68,24.4,0,975.1,9.3,118,0
8/27/2021 23:00,5,560.76,0,14.57,25.75,4.35,84.19,301.4,22.04,30.6,70,24.4,0,975.2,8.6,123,0
8/28/2021 0:00,5,607.49,0,14.4,24.68,4.41,93.17,317.22,17.99,30.1,71,24.3,0,975.2,8.8,125,0
8/28/2021 1:00,5,687.6,0.01,15.25,23.6,5.66,106,332.18,13.68,29.8,72,24.1,0,974.7,7.9,133,0
8/28/2021 2:00,5,794.41,0.84,18.85,18.95,6.68,114.75,338.53,12.29,29.5,71,23.7,0,974.6,6.6,151,0
8/28/2021 3:00,5,907.9,4.97,19.02,22.53,7.09,117.2,341.22,12.41,29.2,70,23.1,0,974.6,4,153,0
8/28/2021 4:00,5,660.9,2.49,12.51,65.8,10.97,98.84,354.17,9.63,28.7,73,23.3,0,975.1,5.4,82,0
8/28/2021 5:00,5,607.49,1.41,9.17,101.57,12.16,99.12,352,10.01,28.1,77,23.7,0,975.1,12.2,124,0
8/28/2021 6:00,5,600.82,0.82,7.28,138.76,14.07,109.47,348.51,10.77,28,80,24.2,0,975.6,11,122,4
8/28/2021 7:00,5,540.73,0.6,6,158.79,15.97,106.69,326.41,9.37,28.5,81,25,0,976.4,13.3,103,83
8/28/2021 8:00,5,534.06,0.55,6,175.95,17.88,107.9,319.53,8.87,29.6,76,24.8,0,976.4,13.7,117,259
8/28/2021 9:00,5,554.09,0.52,6.51,194.55,18.84,112.73,322.38,9.12,31.3,65,23.9,0,976.8,9.9,136,456
8/28/2021 10:00,5,587.46,0.52,8.05,208.86,20.74,115.69,321.5,9.63,32.9,57,23.2,0,976.9,6.4,137,631
8/28/2021 11:00,5,594.14,0.46,9.6,200.27,18.36,113.32,309.52,10.64,34.1,52,23,0,976.8,4.1,105,764
8/28/2021 12:00,5,574.11,0.31,10.97,170.23,12.99,106.74,287.3,11.65,34.9,48,22.4,0,976.2,3.7,101,763
8/28/2021 13:00,5,587.46,0.09,12.85,141.62,8.94,103.63,267.11,13.05,35.6,45,22,0,975.6,3.1,126,763
8/28/2021 14:00,5,627.52,0,13.71,121.59,8.94,103.75,256.37,14.95,36.1,43,21.5,0,975,3.4,122,680
8/28/2021 15:00,5,674.25,0,13.88,110.15,9.66,106.72,250.38,16.97,36.7,40,20.8,0,974.2,3.6,127,591
8/28/2021 16:00,5,694.28,0,12.51,104.43,8.94,114.09,247.65,19.25,36.6,39,20.3,0,973.6,5.8,97,420
8/28/2021 17:00,5,727.65,0,12.17,100.14,7.99,121.4,247.7,19.76,34.9,49,22.6,0,974.2,8.4,70,260
8/28/2021 18:00,5,741.01,0,12.17,92.98,7.21,124.13,243.41,17.99,33.7,55,23.3,0,974.3,9.8,73,101
8/28/2021 19:00,5,747.68,0,11.65,84.4,6.38,125.17,239.16,15.07,32.7,60,23.9,0,974.4,9.7,90,7
8/28/2021 20:00,5,754.36,0,10.45,75.1,5.6,126.76,234.73,12.67,31.7,65,24.4,0,975,11.9,95,0
8/28/2021 21:00,5,767.71,0,9.43,66.52,4.95,128.57,230.86,10.77,31,69,24.5,0,975.6,13,95,0
8/28/2021 22:00,5,774.38,0,8.91,60.8,4.95,128.9,224.45,9.25,30.3,72,24.6,0,975.6,13.6,101,0
8/28/2021 23:00,5,774.38,0,8.65,59.37,5.42,128.35,215.66,8.23,29.7,75,24.8,0,975.7,13.4,110,0
8/29/2021 0:00,5,761.03,0,8.4,62.94,6.32,128.05,207.23,7.35,29.2,78,24.9,0,975.6,13,114,0
8/29/2021 1:00,5,707.63,0,7.97,75.1,9.06,124.78,192.75,6.78,28.9,80,25,0,975.6,12.9,120,0
8/29/2021 2:00,5,720.98,0.07,9.94,80.82,10.01,122.93,182.38,7.47,28.5,82,25,0,975,12.3,128,0
8/29/2021 3:00,5,767.71,0.55,12,88.69,8.94,120.94,177.27,8.74,28.1,83,24.9,0,974.5,12.1,143,0
8/29/2021 4:00,5,747.68,0.84,9.68,104.43,8.23,116.83,168.29,9.25,27.6,84,24.7,0,975.3,6.4,137,0
8/29/2021 5:00,5,747.68,0.82,7.88,123.02,9.78,120.27,165.07,9.5,27.2,89,25.2,0,975.4,9.2,111,0
8/29/2021 6:00,5,741.01,0.69,6.77,148.77,12.99,126.57,168.94,9.63,27.4,88,25.3,0,975.7,10.8,111,4
8/29/2021 7:00,5,694.28,0.56,6.08,168.8,15.97,123.09,171.24,9.12,28.4,83,25.3,0,976.6,12.8,130,91
8/29/2021 8:00,5,674.25,0.49,6.26,185.97,18.84,118.61,171.49,8.61,29.8,76,25.1,0,977.2,15.3,120,250
8/29/2021 9:00,5,674.25,0.43,6.86,200.27,21.7,114.01,169.3,8.23,31.2,69,24.8,0,977.6,15,138,414
8/29/2021 10:00,5,674.25,0.43,8.05,208.86,22.89,105.28,165.23,7.66,33,61,24.3,0,978.1,11.6,144,606
8/29/2021 11:00,5,687.6,0.46,10.03,214.58,22.65,104.46,167.86,7.41,33.7,57,24.1,0.1,978,6.3,121,766
8/29/2021 12:00,5,687.6,0.37,12.34,203.13,20.03,103.25,166.97,7.54,34.5,55,24,0,977.8,2.3,72,770
8/29/2021 13:00,5,881.2,0.2,28.45,150.2,13.59,102.25,163.5,9.75,34.8,52,23.4,0,977,5.2,25,707
8/29/2021 14:00,5,1054.76,0.01,39.41,91.55,9.42,103.17,161.54,13.68,34.9,51,23.2,0,976.3,2.6,124,633
8/29/2021 15:00,5,1108.17,0,40.1,63.66,8.23,105.3,160.91,17.99,35.2,48,22.5,0,975.6,3.4,252,516
8/29/2021 16:00,5,1041.41,0,31.87,55.08,7.33,105.16,157.21,21.53,34.7,46,21.4,0,975.2,5.1,309,375
8/29/2021 17:00,5,1014.71,0,26.73,51.5,6.5,102.97,154.16,21.53,35,43,20.6,0,975.7,5.9,11,262
8/29/2021 18:00,5,1028.06,0,26.73,46.49,6.62,100.37,151.69,17.99,34,49,21.7,0,975.9,5.1,39,96
8/29/2021 19:00,5,1014.71,0,25.02,42.56,6.62,98.24,148.11,13.93,32.4,57,22.7,0,976.3,6.5,56,7
8/29/2021 20:00,5,934.6,0,20.56,40.05,6.14,98.54,146.85,11.53,31.3,62,23.3,0,977,6.5,87,0
8/29/2021 21:00,5,867.84,0,16.45,37.55,5.13,99.75,147.18,9.75,30.5,66,23.5,0,977.6,7.4,104,0
8/29/2021 22:00,5,714.3,0,10.97,60.8,5.48,94.36,141.31,8.61,29.8,69,23.6,0,978,9.1,108,0
8/29/2021 23:00,5,694.28,0,10.2,61.51,5.36,93.9,137.32,7.92,29.4,72,23.8,0,978,11.4,118,0
8/30/2021 0:00,5,727.65,0,10.97,57.22,5.36,97.27,136.94,7.47,28.9,76,24.4,0,978.4,13.2,119,0
8/30/2021 1:00,5,787.74,0,12.68,52.21,5.72,101.45,138.03,7.54,28.5,81,24.9,0,978.3,14.1,122,0
8/30/2021 2:00,5,921.25,0.22,18.68,47.92,6.97,106.46,139.67,8.11,28,84,25.1,0,978.5,13.6,127,0
8/30/2021 3:00,5,1054.76,1.44,23.31,53.64,8.7,109.97,138.38,8.11,27.8,85,25,0,978.9,12.5,131,0
8/30/2021 4:00,5,907.9,1.33,16.28,91.55,10.13,105.08,131.75,7.47,27.6,85,24.9,0,978.9,12,136,0
8/30/2021 5:00,5,894.55,1.59,13.88,105.86,11.33,106.87,134.46,8.74,26.9,88,24.7,0,980,12.6,127,0
8/30/2021 6:00,5,947.95,1.52,12.51,125.89,13.11,113.7,140.7,10.64,27,87,24.6,0,980.2,12,129,4
8/30/2021 7:00,5,747.68,0.8,7.63,154.5,13.95,93.14,122.45,8.04,27.8,81,24.3,0.7,981.4,18.4,96,92
8/30/2021 8:00,5,680.92,0.62,6.6,165.94,14.07,82.95,109.86,7.28,25.8,87,23.5,2.7,981.8,13.6,130,199
8/30/2021 9:00,5,654.22,0.55,6.43,168.8,13.11,77.46,101.32,7.16,27.7,80,24,0.1,982.3,10.1,117,337
8/30/2021 10:00,5,634.19,0.55,7.03,164.51,12.52,71.61,93.87,6.97,29.9,72,24.4,0,982.2,9.2,129,569
8/30/2021 11:00,5,640.87,0.59,9.17,160.22,13.59,68.36,90.13,7.35,31.3,66,24.3,0,982,10.3,102,697
8/30/2021 12:00,5,680.92,0.54,13.71,148.77,15.5,65.54,87.14,8.04,32.3,62,24.1,0,981.7,8.6,92,745
8/30/2021 13:00,5,961.3,0.35,33.59,103,12.76,65.1,88.03,11.53,32.9,58,23.5,0,980.9,6.3,77,689
8/30/2021 14:00,5,1214.98,0.01,45.93,57.22,10.25,68.67,93.8,17.23,33.2,56,23.2,0,980,6.9,39,660
8/30/2021 15:00,5,1295.09,0,45.24,40.05,9.78,73.7,100.02,22.55,33,55,22.8,0,978.9,7.8,34,539
8/30/2021 16:00,5,1214.98,0,34.62,45.78,9.89,75.56,100.54,25.08,33,54,22.6,0,978.1,5.2,56,395
8/30/2021 17:00,5,1188.28,0,29.13,53.64,10.85,76.19,98.66,23.56,32.6,59,23.6,0,979,9.3,36,270
8/30/2021 18:00,5,1174.93,0,27.08,56.51,10.13,74.17,93.52,19.76,31.9,62,23.7,0,979.1,11.3,37,97
8/30/2021 19:00,5,921.25,0,16.97,75.1,7.99,60.03,75.08,13.68,30.8,67,24,0,979.2,10.1,55,7
8/30/2021 20:00,5,787.74,0,12,74.39,5.9,54.58,68.85,12.03,30,71,24.2,0,979.6,10.9,84,0
8/30/2021 21:00,5,747.68,0,9.94,70.81,5.54,53.59,68.22,10.89,29.5,73,24.2,0,980.4,10.7,110,0
8/30/2021 22:00,5,741.01,0,9.77,66.52,6.62,54.39,69.22,9.88,29,75,24.1,0,980.8,11.8,128,0
8/30/2021 23:00,5,767.71,0,10.2,62.94,8.23,57.05,71.46,8.99,28.5,77,24.1,0,981.1,11.7,137,0
8/31/2021 0:00,5,814.44,0,11.31,59.37,9.18,62.68,76.66,8.36,28.2,78,24,0,981.2,11.2,140,0
8/31/2021 1:00,5,894.55,0,12.68,56.51,10.01,71.31,84.16,7.73,27.8,79,23.9,0,981.1,9.7,132,0
8/31/2021 2:00,5,1014.71,0.2,17.48,45.42,10.73,81.34,92.88,7.73,27.4,81,23.9,0,981.4,8.4,110,0
8/31/2021 3:00,5,1134.87,1.7,21.59,33.26,11.21,85.85,95.45,7.16,27,83,23.8,0,981.5,9.1,99,0
8/31/2021 4:00,5,1054.76,2.38,20.05,34.69,11.09,78.6,86.5,7.03,26.7,84,23.9,0,981.9,10.1,96,0
8/31/2021 5:00,5,961.3,1.98,19.54,39.7,11.92,70.8,78.78,8.23,26.1,87,23.8,0,982.2,8,100,0
8/31/2021 6:00,5,867.84,1.15,20.22,45.06,13.95,62.59,70.52,10.01,25.9,88,23.7,0.3,983.1,12.1,60,4
8/31/2021 7:00,4,614.17,0.35,14.22,77.25,14.07,42.5,47.19,6.65,24.7,94,23.6,3.7,984.5,18.6,72,72
8/31/2021 8:00,4,534.06,0.25,12.68,87.98,13.47,33.06,36.79,5.7,24.7,91,23.2,0,984.3,14.7,112,94
8/31/2021 9:00,4,514.03,0.23,12.17,90.84,12.76,29.42,33.06,5.57,26.8,81,23.4,0,984.4,14.2,114,346
8/31/2021 10:00,4,500.68,0.5,11.48,97.28,12.16,28.54,32.35,5.51,28.4,75,23.5,0,984.4,11.8,113,455
8/31/2021 11:00,4,507.36,0.69,10.54,108.72,11.44,29.98,34.05,5.76,30.1,66,23.1,0,984.1,9.3,103,587
8/31/2021 12:00,4,514.03,0.64,11.14,111.58,10.13,30.04,34.46,6.08,31.2,60,22.5,0,983.3,7.2,93,553
8/31/2021 13:00,4,1268.39,5.98,55.52,33.98,8.23,40.64,50.09,13.17,31.6,58,22.2,0,982.6,5.7,72,498
8/31/2021 14:00,5,1895.9,30.4,54.15,0.11,8.58,59.43,77.13,22.29,32.4,53,21.7,0,981.3,6.6,41,563
8/31/2021 15:00,5,2323.15,50.96,43.53,0,9.78,80.26,105.41,26.6,32.7,52,21.5,0,980.3,8.2,29,493
8/31/2021 16:00,5,2456.67,52.75,38.04,0,9.89,97.16,127.09,25.08,32.7,52,21.5,0,980,10.5,22,437
8/31/2021 17:00,5,2269.75,40.68,35.3,0,8.82,102.8,134.76,19.76,32.7,53,21.8,0,980.8,3.4,58,267
8/31/2021 18:00,5,1976.01,27.27,38.04,0.03,7.57,95.38,124.81,14.19,31.5,58,22.4,0,981,4.6,51,79
8/31/2021 19:00,5,1121.52,0.46,38.39,11.27,8.46,56.77,72.46,11.78,30.4,63,22.6,0,981.4,5.7,72,5
8/31/2021 20:00,4,921.25,0.04,26.05,18.6,7.15,49.67,61.49,8.61,29.9,66,22.9,0,982.2,6.2,97,0
8/31/2021 21:00,4,807.76,0,17.65,36.84,8.23,49.12,57.52,6.21,29.2,70,23.2,0,982.7,5.4,98,0
8/31/2021 22:00,5,741.01,0,13.71,57.22,10.73,52.53,58.73,4.88,28.7,73,23.4,0,983.1,6.9,99,0
8/31/2021 23:00,5,707.63,0,12.17,64.37,11.33,55.9,61.68,4.62,28.2,76,23.5,0,983.2,7.6,95,0
9/1/2021 0:00,5,694.28,0,12,65.09,11.09,58.91,64.86,4.75,27.7,78,23.6,0,983.3,8.4,97,0
9/1/2021 1:00,5,734.33,0,14.22,60.8,11.68,63.49,70.71,5.51,27.4,81,23.8,0,982.9,9.4,97,0
9/1/2021 2:00,5,921.25,0.56,23.99,49.35,15.02,73.74,83.75,7.47,27.3,82,23.9,0,982.7,9.1,97,0
9/1/2021 3:00,5,1148.22,4.64,32.56,48.64,20.03,86.39,98.74,10.13,27,84,24,0,982.8,6.7,106,0
9/1/2021 4:00,5,774.38,2.38,17.99,101.57,25.03,74,81.57,5.95,26.5,87,24.1,0,983.2,3.6,90,0
9/1/2021 5:00,5,707.63,1.5,12.68,138.76,24.32,80.01,86.88,6.02,26.5,86,24,0,982.9,4.7,58,0
9/1/2021 6:00,5,700.95,0.95,9.77,173.09,24.56,94.86,101.85,6.21,26.5,86,24,0,983.4,6.5,71,3
9/1/2021 7:00,5,674.25,0.75,8.82,188.83,24.08,96.3,102.53,5.95,27.4,82,24.1,0,983.8,6.5,87,85
9/1/2021 8:00,5,620.84,0.68,8.74,180.24,21.7,82.21,87.34,5.64,28.7,77,24.2,0,984,7,102,255
9/1/2021 9:00,5,594.14,0.6,9.25,171.66,20.27,73.27,77.99,5.95,29.9,71,24,0.2,984.2,7.9,120,437
9/1/2021 10:00,5,614.17,0.69,12,165.94,22.41,68.4,73,6.4,31,67,24.2,0.2,984.3,6,123,582
